x,y,z
-25.214668,-16.785188,-53.026508
-31.538721,-11.560144,-52.210747
-39.353455,-7.684478,-47.625309
-46.976004,-9.730212,-48.883225
-55.554563,-14.592015,-55.592519
-48.311413,-19.115582,-51.31499
-39.663805,-19.130021,-50.564025
-31.619276,-17.852303,-53.308646
8.920257,-16.238814,-59.052227
14.145507,-11.966867,-59.148445
24.726083,-7.736881,-58.508852
31.493249,-10.445907,-64.649984
36.204703,-16.376042,-71.070221
31.554789,-19.994814,-65.018561
23.587986,-19.268883,-60.417157
15.20472,-18.28836,-59.750269
-24.493093,0.164006,-39.835204
-34.144478,4.421841,-40.53494
-43.051188,5.696564,-43.121804
-51.095084,5.998012,-46.611956
-59.817529,5.535426,-53.56596
-58.220814,2.113521,-50.997629
-50.87166,1.678712,-45.743438
-43.063644,-0.591421,-43.78331
-34.661343,-3.68874,-44.48616
-25.110218,-5.784282,-44.408547
11.341151,-0.285079,-46.327752
20.34444,2.120554,-49.707443
27.153408,5.686165,-54.203788
34.614154,7.559976,-63.343083
39.291691,4.933531,-69.909558
38.578482,0.394581,-66.77067
34.897861,0.990844,-61.177474
27.149161,-0.605041,-54.867941
19.999856,-3.917148,-53.326727
14.005557,-4.140092,-50.69686
-15.287714,-11.159123,-42.589034
-14.503764,-22.978057,-38.326331
-14.700933,-34.721512,-33.645247
-21.94363,-44.824662,-41.122243
-16.357574,-55.276783,-39.754045
-9.028176,-55.484276,-32.287602
0.078179,-56.379571,-33.967325
6.954879,-55.929054,-44.989363
10.577367,-46.347119,-48.519553
4.004772,-34.616082,-33.508497
2.391722,-22.491048,-44.726666
1.994808,-11.850183,-46.747676
-32.324781,-77.150644,-49.903974
-21.598179,-70.922662,-41.278976
-11.560015,-67.809133,-36.632955
-4.343586,-69.793573,-37.259991
1.662274,-68.655335,-38.84069
8.119462,-71.551675,-45.557471
16.23049,-76.475709,-56.814496
8.648578,-80.855543,-50.594448
2.910505,-83.065637,-46.610099
-6.362769,-84.23243,-45.719503
-14.457285,-82.27097,-43.590116
-23.427029,-80.237145,-47.250203
-27.979537,-77.113419,-49.142548
-14.266588,-73.964726,-41.502371
-5.794127,-73.888964,-40.623682
2.2368,-73.755275,-42.875867
11.39216,-76.589396,-53.40723
2.144615,-74.781563,-43.678594
-5.906675,-74.912401,-41.534647
-14.356282,-74.993655,-42.214726
-77.361627,15.187527,-76.665469
-75.182186,-9.738463,-79.064828
-76.265676,-39.038089,-81.631363
-70.514727,-55.317624,-81.721968
-71.777952,-73.510463,-95.950536
-59.815864,-94.223855,-86.584998
-43.578025,-103.700269,-75.335838
-6.14325,-111.445763,-54.340313
21.266052,-101.706161,-80.262801
33.137534,-92.931481,-99.376542
38.12075,-74.360025,-101.777791
40.78218,-58.216246,-94.703444
47.875013,-41.177198,-110.588326
48.646323,-11.410696,-111.133079
46.636056,14.644247,-93.946304
